nome,cpf,idade,data,endereco,estado
joão felipe oliveira,830.***.***-00,42.0,1981-10-18,avenida de cardoso,RN
samuel vieira,218.***.***-53,40.0,1984-07-02,"lagoa leandro caldeira, 1",MT
lucca ferreira,237.***.***-19,86.0,1938-03-30,"esplanada de das neves, 5",MG
samuel castro,582.***.***-70,70.0,1954-02-04,"praia eloah da mata, 95",AL
maria vitória teixeira,426.***.***-25,61.0,1962-12-16,"praia carvalho, 7",PA
maria fernanda farias,907.***.***-20,22.0,2001-07-18,"área de correia, 44",AM
fernanda sales,879.***.***-32,71.0,1953-02-05,"vale lorenzo almeida, 80",PE
 eduarda nogueira,602.***.***-07,66.0,1958-01-13,chácara isadora das neves,PB
maitê ferreira,016.***.***-99,65.0,1958-04-24,estação cunha,PR
carina pires,079.***.***-11,47.0,1977-01-28,"loteamento de lima, 1",MT
manuela da rocha,839.***.***-57,74.0,1949-05-21,"alameda de gonçalves, 79",SP
nina moura,604.***.***-25,46.0,1977-07-23,"quadra bernardo ferreira, 85",PA
peo henrique vieira,526.***.***-03,42.0,1981-08-14,"rodovia alícia dias, 58",RR
ana clara cunha,862.***.***-02,36.0,1987-04-09,"rua de cavalcanti, 8",AC
pietra santos,508.***.***-67,94.0,1929-06-14,"esplanada de silva, 1",GO
 theo da conceição,284.***.***-14,26.0,1998-10-04,"viaduto de freitas, 12",RR
vinicius da cos,023.***.***-16,66.0,1958-06-03,"recanto valentina pinto, 52",PA
peo henrique cunha,519.***.***-93,59.0,1965-06-03,"passarela de santos, 501",ES
davi nogueira,564.***.***-11,74.0,1949-12-14,"morro lucca da rocha, 40",CE
luiz fernando da paz,409.***.***-11,80.0,1943-04-30,"praça de da paz, 5",TO
 letícia rocha,137.***.***-32,77.0,1947-12-01,"fazenda joão felipe souza, 78",SC
joão nogueira,367.***.***-10,91.0,1933-02-22,"rodovia cauê monteiro, 50",CE
joão gabriel cardoso,962.***.***-34,53.0,1970-07-13,"área de ferreira, 20",AC
ryan ribeiro,409.***.***-48,95.0,1928-12-18,"núcleo almeida, 41",PB
olivia das neves,314.***.***-55,23.0,2001-01-27,"lagoa de vieira, 25",AL
 luiz miguel pinto,942.***.***-76,55.0,1968-04-17,"conjunto da luz, 6",SC
elisa teixeira,217.***.***-73,79.0,1944-05-07,"ladeira de rodrigues, 58",ES
peo miguel das neves,523.***.***-03,59.0,1964-12-15,"jardim de nascimento, 7",RS
maria luiza azevedo,064.***.***-47,76.0,1947-04-29,"quadra de da cruz, 42",PE
lorenzo silva,642.***.***-13,47.0,1976-05-09,"conjunto de da cruz, 1",RJ
bianca souza,673.***.***-40,97.0,1926-05-25,"colônia francisco campos, 7",SC
vitor azevedo,643.***.***-20,71.0,1953-11-01,largo de barbosa,AL
enzo gabriel lima,187.***.***-94,57.0,1967-01-28,aeroporto rezende,SP
eduarda cunha,093.***.***-32,59.0,1964-09-17,"campo de pinto, 72",PI
 nicole da rocha,367.***.***-03,79.0,1944-10-10,"setor de ferreira, 742",RR
ana clara santos,430.***.***-04,35.0,1988-04-15,"ladeira de sales, 15",DF
enzo gabriel castro,694.***.***-65,96.0,1927-07-11,ladeira de teixeira,PB
nicole ferreira,701.***.***-22,28.0,1996-02-11,"aeroporto duarte, 9",ES
erick sales,498.***.***-48,37.0,1986-09-13,"trecho de martins, 51",PR
anthony barros,742.***.***-07,42.0,1981-10-24,"vila alexia viana, 87",PA
renan da rocha,986.***.***-10,53.0,1971-03-08,"morro melo, 463",RO
marcela santos,843.***.***-42,24.0,1999-12-23,"residencial de aragão, 65",RN
carolina melo,970.***.***-05,39.0,1984-06-06,"vereda kamilly da rosa, 80",SC
lavínia rezende,946.***.***-70,44.0,1979-08-19,"morro davi luiz correia, 38",CE
 julia porto,502.***.***-61,75.0,1948-07-21,"distrito ana laura aragão, 90",MA
alana cardoso,572.***.***-41,32.0,1991-04-14,"favela gonçalves, 32",PR
davi lucas cardoso,805.***.***-83,28.0,1995-11-15,"viela da paz, 92",MT
raul santos,315.***.***-03,19.0,2004-09-11,"loteamento emanuelly sales, 135",SP
igor melo,261.***.***-17,46.0,1978-02-03,"favela oliveira, 67",PR
joaquim da cos,274.***.***-56,76.0,1947-08-10,"condomínio campos, 38",SP
joão felipe farias,936.***.***-01,28.0,1996-01-11,"estação milena silva, 549",PE
manuela almeida,647.***.***-30,75.0,1949-01-27,"feira alice ramos, 3",PE
ryan rocha,248.***.***-51,64.0,1959-10-25,"passarela nogueira, 8",PI
luna da conceição,935.***.***-91,96.0,1928-02-19,"campo campos, 82",MA
manuela silva,591.***.***-73,19.0,2005-09-01,"jardim beatriz farias, 11",AL
maria vitória das neves,761.***.***-34,96.0,1928-01-05,lagoa cavalcanti,PE
marcela cunha,904.***.***-32,45.0,1978-06-17,"rua sales, 4",SE
bryan souza,593.***.***-00,66.0,1958-03-05,"viaduto thales costela, 23",BA
kevin cavalcanti,658.***.***-01,48.0,1976-01-29,"distrito maria moraes, 9",PR
 joão gabriel martins,794.***.***-85,74.0,1949-06-14,"esplanada de moura, 95",MA
gabriela da ma,746.***.***-90,67.0,1956-06-16,"viaduto de peixoto, 16",CE
 júlia fernandes,650.***.***-98,48.0,1975-11-19,"condomínio leandro da mota, 20",TO
bárbara silveira,386.***.***-04,40.0,1983-12-25,trevo carvalho,RN
vinicius jesus,549.***.***-91,89.0,1934-12-08,morro de duarte,RS
 alice pires,536.***.***-56,41.0,1982-07-08,"praia ana carolina correia, 11",RO
lara ferreira,698.***.***-75,72.0,1951-10-23,"rodovia de fogaça, 96",RS
felipe freis,863.***.***-01,98.0,1925-04-27,"rua duarte, 85",AC
maysa pires,852.***.***-11,68.0,1955-10-08,"sítio mariana almeida, 86",PR
letícia da ma,308.***.***-31,48.0,1976-08-04,"aeroporto da paz, 54",PR
luigi cunha,623.***.***-34,92.0,1932-01-24,"praia nascimento, 541",PA
lucas gabriel gomes,120.***.***-40,20.0,2004-02-23,"distrito de cardoso, 24",PI
emanuelly costela,152.***.***-97,46.0,1977-10-21,"vale de vieira, 67",PA
calebe nascimento,631.***.***-87,85.0,1939-02-25,"trecho brenda ferreira, 25",RJ
juan pires,139.***.***-46,76.0,1948-03-12,"avenida de santos, 89",MS
lívia cos,582.***.***-50,81.0,1942-10-18,"loteamento oliveira, 12",AM
davi lucas nunes,679.***.***-03,21.0,2003-01-07,"vila viana, 68",AM
 lucca oliveira,806.***.***-75,89.0,1934-06-24,"passarela jesus, 34",PB
eduardo monteiro,037.***.***-65,61.0,1962-11-09,viaduto caldeira,PE
diogo moraes,571.***.***-52,47.0,1977-01-12,"sítio aragão, 73",RJ
felipe freis,657.***.***-57,18.0,2005-12-08,área gabriela nascimento,RR
ryan peixoto,830.***.***-98,27.0,1996-08-25,"estrada agatha correia, 79",TO
otávio pires,526.***.***-01,25.0,1998-07-16,"pátio ribeiro, 33",MS
thiago moreira,023.***.***-03,61.0,1963-01-11,"residencial rebeca da paz, 43",SC
pietro lopes,428.***.***-19,61.0,1962-04-24,"aeroporto moura, 81",SP
gabriela gomes,317.***.***-50,42.0,1981-04-13,"parque mariane araújo, 1",RO
joão miguel viana,183.***.***-77,23.0,2000-05-27,"estrada de carvalho, 309",DF
 luiz henrique nunes,031.***.***-77,76.0,1948-03-17,"via da cunha, 11",TO
 ana sophia viana,937.***.***-68,29.0,1995-02-18,"rodovia agatha cavalcanti, 27",AP
 marcelo aragão,418.***.***-40,85.0,1938-04-06,praça raul pires,TO
enzo gabriel da mo,018.***.***-24,30.0,1993-09-22,vila farias,SE
benjamin da rosa,195.***.***-86,99.0,1924-07-29,"núcleo maria luiza novaes, 100",RJ
ana rezende,316.***.***-64,68.0,1955-10-15,"esplanada de da cruz, 73",PE
 thomas dias,267.***.***-03,45.0,1979-01-13,"jardim ana carolina da mota, 6",AP
breno ribeiro,803.***.***-78,38.0,1985-10-05,"vereda de costela, 27",MG
lucas gabriel novaes,856.***.***-11,42.0,1982-09-04,"trevo manuela jesus, 927",SC
vicente roigues,328.***.***-79,85.0,1938-12-18,"chácara cardoso, 14",RN
joão lucas vieira,985.***.***-05,38.0,1985-10-18,"praça de oliveira, 35",RN
 luiz henrique freis,951.***.***-88,47.0,1976-11-07,"residencial luigi duarte, 6",SC
 luiza da conceição,189.***.***-33,96.0,1927-04-29,"núcleo de ferreira, 77",PR
benjamin cavalcanti,317.***.***-41,26.0,1997-11-30,"área de fernandes, 37",MT
murilo mendes,653.***.***-17,77.0,1946-04-20,"loteamento porto, 4",SE
 renan rezende,609.***.***-38,65.0,1958-12-16,"área de ribeiro, 688",PR
maysa porto,081.***.***-84,68.0,1955-09-11,"pátio carlos eduardo azevedo, 76",RO
peo lucas pereira,873.***.***-35,84.0,1940-01-09,"quadra almeida, 83",CE
isadora nogueira,480.***.***-05,50.0,1974-01-09,"feira almeida, 72",RJ
gabriel ramos,591.***.***-05,76.0,1947-08-23,"viaduto de freitas, 46",TO
yago ferreira,531.***.***-00,87.0,1936-05-30,"ladeira agatha almeida, 27",RS
samuel da ma,521.***.***-11,21.0,2002-11-30,"residencial cavalcanti, 50",MG
 rafael souza,436.***.***-07,45.0,1979-02-03,"rodovia de moreira, 6",AM
vitor hugo lima,450.***.***-80,85.0,1938-07-30,"esplanada oliveira, 654",PR
 bernardo da cruz,230.***.***-50,21.0,2003-03-03,"rodovia thomas santos, 48",AM
caio da cunha,926.***.***-00,93.0,1930-09-14,"vila milena porto, 70",RO
stephany duarte,642.***.***-46,97.0,1927-03-22,"lagoa rebeca novaes, 77",SE
kevin da conceição,074.***.***-94,63.0,1960-04-18,"núcleo sales, 59",PE
 giovanna aragão,142.***.***-17,76.0,1947-07-08,"feira sales, 82",AL
peo henrique pinto,653.***.***-37,25.0,1998-09-20,"colônia de azevedo, 22",CE
joaquim da cruz,532.***.***-41,30.0,1993-12-14,alameda fernandes,AM
leano souza,560.***.***-86,29.0,1994-10-09,"estrada de castro, 671",PI
beatriz aragão,805.***.***-04,52.0,1971-07-29,"trecho calebe ferreira, 902",AL
carlos eduardo teixeira,546.***.***-98,48.0,1975-07-26,"chácara joão gabriel correia, 983",ES
joana da rocha,915.***.***-33,46.0,1978-03-05,"lago maria cecília dias, 93",MG
lucas gabriel da luz,203.***.***-70,18.0,2005-12-13,via de santos,DF
davi lucas da cos,502.***.***-52,18.0,2005-11-29,"viela mariana ferreira, 867",AL
henrique da rocha,713.***.***-44,33.0,1990-09-08,"via caio carvalho, 11",AM
lorena fernandes,574.***.***-93,92.0,1931-05-23,residencial joão guilherme campos,PR
nathan nogueira,837.***.***-56,44.0,1980-03-22,"vereda jesus, 420",DF
 maysa rezende,726.***.***-55,81.0,1942-09-08,"setor de da mata, 49",PI
erick santos,680.***.***-67,43.0,1980-06-22,"rua lavínia da rosa, 9",TO
agatha sales,983.***.***-30,92.0,1932-09-01,"setor de santos, 49",SP
ana beatriz moreira,637.***.***-66,63.0,1960-11-19,"parque thomas nogueira, 74",AM
antônio da rocha,943.***.***-23,26.0,1998-02-28,"viela de mendes, 45",AM
 vitória viana,813.***.***-24,83.0,1941-03-23,"loteamento barbosa, 28",RO
enzo monteiro,534.***.***-04,43.0,1980-06-25,"trevo barros, 87",PR
bernardo santos,045.***.***-29,18.0,2005-09-09,"lagoa isabella viana, 20",PR
guilherme cunha,237.***.***-02,25.0,1999-03-31,"fazenda rezende, 619",PI
raul roigues,193.***.***-33,47.0,1976-06-16,praça souza,SC
pietra lima,591.***.***-39,31.0,1993-03-28,"praça almeida, 81",MT
camila barbosa,560.***.***-59,37.0,1986-07-11,"vila martins, 7",PA
kaique almeida,078.***.***-02,68.0,1955-09-27,"passarela de pires, 6",MS
antônio porto,015.***.***-60,87.0,1936-06-19,"aeroporto lavínia porto, 29",RR
alana rezende,216.***.***-60,70.0,1953-05-23,"parque de aragão, 76",ES
vitor almeida,134.***.***-00,42.0,1981-08-06,"vale ramos, 60",RR
isabelly da mo,709.***.***-48,75.0,1948-05-19,loteamento nascimento,PA
isis oliveira,893.***.***-87,77.0,1946-09-28,"esplanada joão guilherme barbosa, 39",AL
carolina gomes,845.***.***-28,31.0,1992-05-29,parque nascimento,AL
 natália roigues,548.***.***-88,76.0,1948-03-04,"largo alves, 654",MS
fernando ramos,032.***.***-38,51.0,1973-01-05,"trevo de azevedo, 36",PR
gabriela da cruz,109.***.***-77,26.0,1997-06-11,"área de barros, 4",CE
noah cavalcanti,273.***.***-60,83.0,1941-02-17,"setor arthur barros, 58",MT
clara moreira,079.***.***-05,50.0,1974-03-30,"largo gomes, 85",PB
laura araújo,134.***.***-25,54.0,1970-03-16,"praia agatha cardoso, 1",PI
 luiz otávio sales,472.***.***-60,77.0,1946-07-10,"via novaes, 81",MT
emilly da ma,839.***.***-83,88.0,1935-10-11,"pátio castro, 51",ES
kevin roigues,086.***.***-50,53.0,1970-09-05,"campo lima, 42",PE
davi pereira,209.***.***-89,60.0,1963-09-23,"esplanada rafael viana, 38",MG
thomas silva,891.***.***-89,20.0,2004-03-06,"travessa beatriz fogaça, 47",RN
ana lívia da cruz,135.***.***-84,85.0,1938-09-06,"praça correia, 3",RJ
 vicente silveira,318.***.***-57,59.0,1964-11-06,"viela maria cecília viana, 44",PA
sophie caldeira,403.***.***-17,36.0,1988-01-28,"vila nina moura, 41",PA
gabriel cos,930.***.***-34,59.0,1964-04-07,"núcleo carvalho, 87",PI
ana carolina cos,680.***.***-80,50.0,1973-12-15,"rodovia de da luz, 710",RO
maitê fogaça,543.***.***-57,26.0,1997-10-29,residencial beatriz lopes,RN
bruna caldeira,259.***.***-03,67.0,1956-05-14,"aeroporto de ferreira, 9",AC
caroline moura,593.***.***-25,30.0,1993-04-27,"chácara da luz, 27",SP
 ana júlia pires,561.***.***-06,46.0,1977-06-19,núcleo cardoso,TO
 larissa fernandes,503.***.***-51,43.0,1981-02-21,"residencial de ribeiro, 11",GO
roigo da luz,416.***.***-61,32.0,1992-02-03,"aeroporto de campos, 63",PB
carlos eduardo barros,730.***.***-70,31.0,1992-05-25,loteamento de rodrigues,GO
ana laura silva,047.***.***-66,51.0,1972-06-20,"vale pinto, 70",PI
maitê nogueira,517.***.***-06,66.0,1958-10-01,"vale costela, 5",SP
ana laura da luz,681.***.***-90,80.0,1943-09-26,"jardim de barros, 111",TO
 brenda viana,154.***.***-01,75.0,1948-10-12,"pátio da rocha, 793",ES
augusto teixeira,360.***.***-47,93.0,1930-05-17,"setor samuel porto, 99",AM
 francisco lima,318.***.***-70,65.0,1959-02-01,"via diego lima, 60",AP
isaac da luz,293.***.***-83,74.0,1949-09-12,"área joão lucas lima, 997",RO
calebe jesus,068.***.***-00,46.0,1978-02-15,"praia vitor gabriel cunha, 89",SC
kevin melo,786.***.***-22,57.0,1966-11-05,viaduto juliana nogueira,BA
peo miguel peixoto,079.***.***-68,49.0,1975-03-26,"passarela moura, 85",DF
gabrielly almeida,498.***.***-00,29.0,1994-06-21,"condomínio de sales, 62",PB
murilo correia,197.***.***-93,33.0,1990-11-29,"estação de ribeiro, 893",SP
matheus dias,156.***.***-53,82.0,1942-12-02,endereço inválido,DESCONHECIDO
stella cardoso,798.***.***-39,55.0,1968-08-14,"estrada ana ramos, 10",GO
marcela barbosa,509.***.***-66,61.0,1963-03-04,"estação de azevedo, 639",MS
ana carolina pires,612.***.***-06,87.0,1936-04-16,"viaduto eduarda pinto, 76",RS
helena aragão,791.***.***-23,84.0,1940-02-19,morro lavínia almeida,AP
joão gabriel oliveira,496.***.***-09,96.0,1927-11-21,"travessa oliveira, 28",MA
maria cecília vieira,491.***.***-64,87.0,1936-05-14,"conjunto de souza, 842",TO
lorena roigues,461.***.***-90,45.0,1978-12-27,"quadra de fogaça, 57",PE
nicolas cunha,873.***.***-53,70.0,1954-09-01,"estrada de carvalho, 52",GO
vitor hugo ramos,485.***.***-06,29.0,1994-08-07,"travessa melo, 5",ES
luigi aragão,704.***.***-74,40.0,1984-02-28,"largo de rodrigues, 19",DF
maria julia barros,123.***.***-77,49.0,1974-06-14,área nogueira,PE
luiz gusvo silveira,178.***.***-03,93.0,1931-02-16,estação mendes,PR
ana júlia fernandes,795.***.***-76,96.0,1927-05-16,"passarela de carvalho, 69",SE
luiz miguel novaes,754.***.***-28,26.0,1998-01-24,"morro de nascimento, 17",MG
gabriel santos,142.***.***-30,21.0,2003-03-24,"largo viana, 3",PE
 sophie vieira,624.***.***-17,71.0,1952-04-06,"loteamento de viana, 65",PI
júlia cardoso,482.***.***-02,88.0,1935-07-24,"feira gustavo nascimento, 911",RS
 gabriela jesus,846.***.***-40,49.0,1975-03-04,vereda cunha,ES
 joão gabriel correia,038.***.***-08,48.0,1975-05-27,"aeroporto augusto das neves, 847",TO
luiz gusvo jesus,625.***.***-02,98.0,1925-04-09,"feira fogaça, 914",PI
roigo ferreira,527.***.***-49,55.0,1969-02-27,"estação moraes, 13",MG
alícia ribeiro,514.***.***-94,91.0,1932-04-28,"feira maria julia costela, 21",MG
 ané da ma,169.***.***-15,66.0,1957-12-07,"loteamento de lima, 16",SE
 maria julia campos,245.***.***-55,64.0,1960-02-06,"rodovia pires, 57",SP
joão gabriel ferreira,018.***.***-03,94.0,1929-07-20,pátio carvalho,AP
thomas moraes,291.***.***-05,60.0,1964-02-09,"parque melo, 462",GO
clara melo,860.***.***-57,62.0,1962-02-15,"alameda vitor gabriel lopes, 52",MS
luigi cavalcanti,078.***.***-50,33.0,1990-07-07,"campo de campos, 83",RN
 stella da cos,340.***.***-51,53.0,1970-10-31,"passarela oliveira, 48",RO
isabella da paz,289.***.***-65,80.0,1943-12-31,"via letícia nunes, 280",AL
enzo da rocha,874.***.***-13,43.0,1980-12-28,"travessa ribeiro, 92",GO
olivia fernandes,016.***.***-48,50.0,1973-12-09,"conjunto eduardo da paz, 2",AP
ané da ma,648.***.***-08,37.0,1986-11-05,"feira clara lima, 5",MA
peo henrique cavalcanti,938.***.***-86,78.0,1946-02-09,"núcleo de rocha, 9",SP
joaquim silveira,671.***.***-12,20.0,2003-07-18,"vila de freitas, 80",AC
mirella roigues,216.***.***-94,46.0,1977-12-11,"fazenda de lima, 95",RJ
 isabelly azevedo,087.***.***-76,74.0,1949-11-23,"ladeira caldeira, 5",AC
 samuel ferreira,720.***.***-87,35.0,1989-02-02,"travessa ana lívia da mata, 63",ES
otávio carvalho,643.***.***-90,87.0,1936-07-09,"residencial costa, 9",SE
 stephany da mo,154.***.***-51,25.0,1999-03-16,"colônia monteiro, 49",MT
cauê mendes,152.***.***-44,30.0,1993-12-15,"lagoa das neves, 36",BA
alexane nunes,496.***.***-33,52.0,1972-07-03,"esplanada souza, 437",MG
maria fernanda aragão,372.***.***-53,67.0,1956-05-24,"favela de carvalho, 28",RS
joão guilherme silva,820.***.***-30,73.0,1951-03-20,"praça caroline almeida, 19",DF
lorena rezende,753.***.***-95,73.0,1951-03-25,"lagoa de fogaça, 92",MG
maria sophia da cruz,690.***.***-34,68.0,1955-05-27,"vale ana julia porto, 19",MG
milena das neves,685.***.***-89,94.0,1930-09-02,"residencial de cunha, 20",PB
kamilly da cunha,520.***.***-80,66.0,1957-06-21,"travessa lucca carvalho, 38",RO
luiz miguel aragão,937.***.***-12,54.0,1970-03-11,aeroporto ana clara oliveira,AM
ana laura ribeiro,754.***.***-47,37.0,1986-11-14,"praia de da mata, 18",RJ
lorena da mo,162.***.***-90,56.0,1967-05-22,"favela de azevedo, 62",MA
emanuella souza,617.***.***-07,78.0,1945-12-06,"loteamento ferreira, 493",PI
cecília pinto,498.***.***-30,24.0,1999-04-16,"campo vinicius campos, 2",MG
peo henrique cunha,584.***.***-00,45.0,1978-12-27,"condomínio bruna mendes, 55",CE
 eloah da mo,901.***.***-03,32.0,1991-05-31,"loteamento freitas, 30",SP
samuel da rocha,159.***.***-97,22.0,2002-05-03,"trecho de freitas, 8",TO
melissa almeida,705.***.***-92,64.0,1959-08-13,"alameda de da rosa, 2",PE
carlos eduardo da mo,894.***.***-20,98.0,1925-08-08,"largo juliana barbosa, 182",RN
 vitor da mo,789.***.***-28,48.0,1975-05-17,viela de da paz,PE
 diogo costela,962.***.***-73,36.0,1987-09-28,"passarela joão lucas nogueira, 753",PE
rafaela roigues,578.***.***-60,80.0,1943-12-10,"campo vinicius silva, 27",AC
